FOD1P,Major,Major_Category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Ocupation industry
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,64196,53097,46183,3401,0.060196821,63000,42000,90000.0,Architecture and Engineering Occupations
5008,MATERIALS SCIENCE,Engineering,7208,5866,4505,134,0.022333332999999997,75000,60000,100000.0,Architecture and Engineering Occupations
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,103740,75798,50530,5525,0.06793895900000001,46000,32000,71000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,75791,45657,30428,4043,0.081348089,48000,30000,70000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,236342,153654,99459,9598,0.058792542,48000,33500,69000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,57793,34696,23046,2707,0.072373874,45000,30000,75000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,1098647,708882,482229,52248,0.068645304,50000,32900,75000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,59211,44913,29628,3569,0.07361495,40000,28800,65000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3401,LIBERAL ARTS,Humanities & Liberal Arts,601221,404932,296792,29348,0.067578521,50000,33000,75000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
3402,HUMANITIES,Humanities & Liberal Arts,46188,29971,19460,2530,0.077843759,46700,30000,70000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,56580,43114,27499,3462,0.074330127,45000,30000,69000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,205763,138734,95429,11252,0.075020335,45000,30000,70000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,232865,164827,121606,7317,0.042505112000000005,40000,27000,56000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,143087,102399,66046,8684,0.078175778,43000,30000,68000.0,"Arts, Design, Entertainment, Sports, and Media Occupations"
